-124, 157, -1455
-204, 192, -1438
-194, 255, -1362
-228, 291, -1269
-389, 297, -1199
-,-,-
289, 175, 1073
354, 154, 1125
453, 225, 1267
516, 300, 1388
516, 300, 1388
655, 351, 1508
793, 372, 1628
776, 558, 1754
629, 661, 1686
658, 589, 1462
636, 423, 850
636, 423, 850
555, 296, 55
299, -5, -324
78, -3, -330
-171, 174, -124
-171, 174, -124
-293, 422, -4
-300, 502, -258
-209, 284, -918
-5, 128, -1475
9, 161, -1454
79, 196, -1216
153, 212, -1285
153, 212, -1285
98, 240, -1494
-66, 223, -1760
-71, 268, -1810
-14, 289, -1794
-84, 347, -1649
-322, 402, -1456
-488, 396, -1437
-421, 465, -1398
-321, 498, -1401
-185, 439, -1327
-189, 441, -928
-392, 389, -667
-150, 309, -549
160, 358, 44
160, 358, 44
96, 309, 688
252, 46, 668
747, -126, 627
747, -126, 627
994, -12, 1123
997, 68, 1136
918, 251, 1205
803, 422, 1305
573, 421, 1342
304, 408, 1527
-,-,-
521, 171, 1231
577, -21, 1386
442, 17, 1381
477, 67, 1354
477, 67, 1354
379, 221, 1543
396, 256, 1515
428, 277, 1290
235, 256, 897
428, 197, 392
428, 197, 392
359, 72, -26
188, 73, -258
-138, 246, -449
-551, 313, -784
-589, 317, -1082
-537, 221, -1186
-333, 229, -1057
-59, 216, -1034
-59, 216, -1034
6, 243, -1105
99, 249, -1231
189, 243, -1264
249, 220, -1267
247, 201, -1363
207, 202, -1560
73, 243, -1572
13, 306, -1452
13, 306, -1452
-55, 362, -1383
-254, 353, -1503
-377, 341, -1624
-388, 454, -1384
-318, 498, -1106
-321, 500, -833
-256, 366, -614
-394, 275, -533
-397, 302, -240
90, 245, 178
534, 174, 416
534, 174, 416
702, 6, 691
625, 118, 1207
788, 205, 1268
676, 165, 1068
676, 165, 1068
437, 239, 1204
-,-,-
711, 162, 1266
904, 231, 1659
816, 345, 1716
683, 260, 1437
428, 241, 1347
482, 205, 1263
482, 205, 1263
603, 118, 1144
373, 201, 779
366, 171, 310
161, 66, 152
161, 66, 152
27, 111, 93
-5, 171, -285
-169, 205, -697
-110, 329, -651
-157, 399, -574
-185, 358, -958
-185, 358, -958
106, 294, -1272
402, 236, -1505
472, 196, -1550
304, 242, -1584
289, 170, -1966
294, 123, -1997
320, 151, -1927
185, 208, -1790
-88, 337, -1519
-216, 432, -1310
-224, 368, -1279
-162, 301, -1303
-222, 305, -1228
-222, 305, -800
-432, 387, -800
-487, 410, -635
-280, 385, -533
-170, 402, 49
-92, 196, 471
225, 21, 474
476, -86, 388
476, -86, 388
719, -177, 178
948, -39, 683
1112, 149, 1250
1059, 173, 1269
1057, 105, 1111
908, -8, 1042
-,-,-
665, 202, 1180
804, 217, 1468
888, 226, 1551
1083, 318, 1468
823, 223, 1553
823, 223, 1553
508, 279, 1175
283, 141, 1064
198, 284, 1063
382, 283, 658
76, -20, -11
76, -20, -11
-148, -71, -320
-162, -143, -573
-52, 65, -435
-251, 219, -299
-181, 241, -776
-407, 47, -1336
-751, 57, -1519
-420, 223, -950
-420, 223, -950
69, 243, -726
283, 283, -776
18, 276, -1260
-137, 309, -1610
115, 322, -1853
253, 250, -1823
283, 236, -1720
139, 223, -1760
100, 258, -1689
100, 258, -1689
95, 343, -1335
2, 349, -1042
-139, 355, -905
-385, 377, -910
-627, 405, -765
-815, 421, -726
-607, 502, -641
-511, 455, -291
-392, 341, 113
-392, 341, 113
-131, 291, 347
234, 105, 53
678, -191, -254
955, -136, 453
1334, -14, 1114
1363, -19, 1318
1160, -35, 1098
-,-,-
528, 146, 865
462, 108, 969
420, 188, 1164
801, 222, 1531
913, 203, 1761
913, 203, 1761
851, 246, 1760
1146, 168, 1755
1217, 229, 1596
1155, 280, 830
951, 346, 143
715, 255, -409
289, 204, -421
289, 204, -421
-101, 409, -448
-388, 370, -643
-323, 217, -1132
-333, 289, -1283
-218, 261, -1334
-139, 220, -1171
23, 297, -1011
306, 216, -1115
416, 103, -1285
376, -35, -1580
487, -209, -1878
445, -207, -1661
322, -156, -1481
404, -127, -1430
404, -127, -1430
366, -81, -1390
181, 58, -1471
66, 90, -1729
-20, 148, -1653
-206, 217, -1423
-333, 314, -998
-254, 388, -762
-166, 489, -635
-248, 417, -349
-61, 299, 54
